COUNTYFP,Results,Values
18105,NEVER,0.037
18107,NEVER,0.07
18109,NEVER,0.06
18111,NEVER,0.102
18113,NEVER,0.057
18115,NEVER,0.06
18117,NEVER,0.096
18119,NEVER,0.094
18121,NEVER,0.116
18123,NEVER,0.01
18125,NEVER,0.052
18127,NEVER,0.05
18129,NEVER,0.132
18131,NEVER,0.135
18133,NEVER,0.075
18135,NEVER,0.128
18137,NEVER,0.054
18139,NEVER,0.133
18141,NEVER,0.031
18143,NEVER,0.036
18145,NEVER,0.16
18147,NEVER,0.017
18149,NEVER,0.177
18151,NEVER,0.04
18153,NEVER,0.127
18155,NEVER,0.089
18157,NEVER,0.093
18159,NEVER,0.033
18161,NEVER,0.095
18163,NEVER,0.07
18165,NEVER,0.113
18167,NEVER,0.118
18169,NEVER,0.07
18171,NEVER,0.079
18173,NEVER,0.045
18175,NEVER,0.097
18177,NEVER,0.162
18179,NEVER,0.205
18181,NEVER,0.056
18183,NEVER,0.061
19001,NEVER,0.073
19003,NEVER,0.148
19005,NEVER,0.138
19007,NEVER,0.044
19009,NEVER,0.224
19011,NEVER,0.098
19013,NEVER,0.032
19015,NEVER,0.09
19017,NEVER,0.048
19019,NEVER,0.021
19021,NEVER,0.183
19023,NEVER,0.052
19025,NEVER,0.212
19027,NEVER,0.153
19029,NEVER,0.341
19031,NEVER,0.026
19033,NEVER,0.061
19035,NEVER,0.183
19037,NEVER,0.075
19039,NEVER,0.078
19041,NEVER,0.224
19043,NEVER,0.123
19045,NEVER,0.092
19047,NEVER,0.089
19049,NEVER,0.036
19051,NEVER,0.038
19053,NEVER,0.248
19055,NEVER,0.035
19057,NEVER,0.135
19059,NEVER,0.276
19061,NEVER,0.037
19063,NEVER,0.241
19065,NEVER,0.054
19067,NEVER,0.063
19069,NEVER,0.088
19071,NEVER,0.048
19073,NEVER,0.116
19075,NEVER,0.038
19077,NEVER,0.162
19079,NEVER,0.143
19081,NEVER,0.08
19083,NEVER,0.074
19085,NEVER,0.118
19087,NEVER,0.123
19089,NEVER,0.077
19091,NEVER,0.243
19093,NEVER,0.153
19095,NEVER,0.027
19097,NEVER,0.032
19099,NEVER,0.102
19101,NEVER,0.074
19103,NEVER,0.014
19105,NEVER,0.04
19107,NEVER,0.035
19109,NEVER,0.135
19111,NEVER,0.17
19113,NEVER,0.039
19115,NEVER,0.097
19117,NEVER,0.032
19119,NEVER,0.078
19121,NEVER,0.01
19123,NEVER,0.069
19125,NEVER,0.053
19127,NEVER,0.077
19129,NEVER,0.064
19131,NEVER,0.046
19133,NEVER,0.078
19135,NEVER,0.034
19137,NEVER,0.218
19139,NEVER,0.12
19141,NEVER,0.173
19143,NEVER,0.195
19145,NEVER,0.088
19147,NEVER,0.199
19149,NEVER,0.125
19151,NEVER,0.214
19153,NEVER,0.044
19155,NEVER,0.115
19157,NEVER,0.121
19159,NEVER,0.144
19161,NEVER,0.18
19163,NEVER,0.075
19165,NEVER,0.099
19167,NEVER,0.12
19169,NEVER,0.045
19171,NEVER,0.066
19173,NEVER,0.09
19175,NEVER,0.03
19177,NEVER,0.107
19179,NEVER,0.034
19181,NEVER,0.055
19183,NEVER,0.035
19185,NEVER,0.138
19187,NEVER,0.209
19189,NEVER,0.07
19191,NEVER,0.122
19193,NEVER,0.113
19195,NEVER,0.072
19197,NEVER,0.172
20001,NEVER,0.153
20003,NEVER,0.189
20005,NEVER,0.137
20007,NEVER,0.069
20009,NEVER,0.107
20011,NEVER,0.167
20013,NEVER,0.089
20015,NEVER,0.053
20017,NEVER,0.151
20019,NEVER,0.128
20021,NEVER,0.131
20023,NEVER,0.065
20025,NEVER,0.163
20027,NEVER,0.081
20029,NEVER,0.154
20031,NEVER,0.085
20033,NEVER,0.112
20035,NEVER,0.075
20037,NEVER,0.108
20039,NEVER,0.163
20041,NEVER,0.106
20043,NEVER,0.137
20045,NEVER,0.006
20047,NEVER,0.052
20049,NEVER,0.061
20051,NEVER,0.154
20053,NEVER,0.174
20055,NEVER,0.166
20057,NEVER,0.143
20059,NEVER,0.063
20061,NEVER,0.05
20063,NEVER,0.24
20065,NEVER,0.218
20067,NEVER,0.14
20069,NEVER,0.158
20071,NEVER,0.135
20073,NEVER,0.034
20075,NEVER,0.131
20077,NEVER,0.079
20079,NEVER,0.075
20081,NEVER,0.153
20083,NEVER,0.126
20085,NEVER,0.01
20087,NEVER,0.026
20089,NEVER,0.171
20091,NEVER,0.029
20093,NEVER,0.155
20095,NEVER,0.081
20097,NEVER,0.062
20099,NEVER,0.168
20101,NEVER,0.197
20103,NEVER,0.087
20105,NEVER,0.171
20107,NEVER,0.14
20109,NEVER,0.206
20111,NEVER,0.113
20113,NEVER,0.12
20115,NEVER,0.101
20117,NEVER,0.048
20119,NEVER,0.164
20121,NEVER,0.071
20123,NEVER,0.173
20125,NEVER,0.164
20127,NEVER,0.11
20129,NEVER,0.12
20131,NEVER,0.035
20133,NEVER,0.133
20135,NEVER,0.15
20137,NEVER,0.161
20139,NEVER,0.018
20141,NEVER,0.174
20143,NEVER,0.131
20145,NEVER,0.053
20147,NEVER,0.15
20149,NEVER,0.012
20151,NEVER,0.02
20153,NEVER,0.128
20155,NEVER,0.135
20157,NEVER,0.183
20159,NEVER,0.153
20161,NEVER,0.03
20163,NEVER,0.179
20165,NEVER,0.11
20167,NEVER,0.16
20169,NEVER,0.126
20171,NEVER,0.197
20173,NEVER,0.06
20175,NEVER,0.138
20177,NEVER,0.009
20179,NEVER,0.231
20181,NEVER,0.1
20183,NEVER,0.142
20185,NEVER,0.041
20187,NEVER,0.127
20189,NEVER,0.122
20191,NEVER,0.104
20193,NEVER,0.188
20195,NEVER,0.203
20197,NEVER,0.011
20199,NEVER,0.128
20201,NEVER,0.148
20203,NEVER,0.173
20205,NEVER,0.125
20207,NEVER,0.092
20209,NEVER,0.025
21001,NEVER,0.076
21003,NEVER,0.101
21005,NEVER,0.062
21007,NEVER,0.107
21009,NEVER,0.053
21011,NEVER,0.076
21013,NEVER,0.146
21015,NEVER,0.08
21017,NEVER,0.024
21019,NEVER,0.084
21021,NEVER,0.092
21023,NEVER,0.056
21025,NEVER,0.114
21027,NEVER,0.023
21029,NEVER,0.037
21031,NEVER,0.066
21033,NEVER,0.059
21035,NEVER,0.066
21037,NEVER,0.073
21039,NEVER,0.104
21041,NEVER,0.155
21043,NEVER,0.069
21045,NEVER,0.164
21047,NEVER,0.06
21049,NEVER,0.083
21051,NEVER,0.153
21053,NEVER,0.096
21055,NEVER,0.121
21057,NEVER,0.067
21059,NEVER,0.055
21061,NEVER,0.055
21063,NEVER,0.117
21065,NEVER,0.082
21067,NEVER,0.031
21069,NEVER,0.068
21071,NEVER,0.131
21073,NEVER,0.088
21075,NEVER,0.1
21077,NEVER,0.076
21079,NEVER,0.077
21081,NEVER,0.047
21083,NEVER,0.103
21085,NEVER,0.043
21087,NEVER,0.063
21089,NEVER,0.092
21091,NEVER,0.019
21093,NEVER,0.057
21095,NEVER,0.076
21097,NEVER,0.073
21099,NEVER,0.053
21101,NEVER,0.072
21103,NEVER,0.093
21105,NEVER,0.097
21107,NEVER,0.04
21109,NEVER,0.183
21111,NEVER,0.036
21113,NEVER,0.022
21115,NEVER,0.102
21117,NEVER,0.052
21119,NEVER,0.157
21121,NEVER,0.187
21123,NEVER,0.074
21125,NEVER,0.201
21127,NEVER,0.155
21129,NEVER,0.129
21131,NEVER,0.094
21133,NEVER,0.078
21135,NEVER,0.057
21137,NEVER,0.172
21139,NEVER,0.08
21141,NEVER,0.099
21143,NEVER,0.052
21145,NEVER,0.085
21147,NEVER,0.096
21149,NEVER,0.081
21151,NEVER,0.088
21153,NEVER,0.107
21155,NEVER,0.046
21157,NEVER,0.061
21159,NEVER,0.108
21161,NEVER,0.056
21163,NEVER,0.018
21165,NEVER,0.161
21167,NEVER,0.047
21169,NEVER,0.048
21171,NEVER,0.082
21173,NEVER,0.03
21175,NEVER,0.133
21177,NEVER,0.035
21179,NEVER,0.033
21181,NEVER,0.023
21183,NEVER,0.064
21185,NEVER,0.025
21187,NEVER,0.091
21189,NEVER,0.121
21191,NEVER,0.035
21193,NEVER,0.123
21195,NEVER,0.096
21197,NEVER,0.112
21199,NEVER,0.13
21201,NEVER,0.048
21203,NEVER,0.215
21205,NEVER,0.159
21207,NEVER,0.096
21209,NEVER,0.04
21211,NEVER,0.092
21213,NEVER,0.137
21215,NEVER,0.032
21217,NEVER,0.073
21219,NEVER,0.058
21221,NEVER,0.066
21223,NEVER,0.134
21225,NEVER,0.211
21227,NEVER,0.076
21229,NEVER,0.035
21231,NEVER,0.102
21233,NEVER,0.088
21235,NEVER,0.176
21237,NEVER,0.14
21239,NEVER,0.042
22001,NEVER,0.122
22003,NEVER,0.196
22005,NEVER,0.049
22007,NEVER,0.079
22009,NEVER,0.13
22011,NEVER,0.086
22013,NEVER,0.078
22015,NEVER,0.068
22017,NEVER,0.058
22019,NEVER,0.102
22021,NEVER,0.102
22023,NEVER,0.089
22025,NEVER,0.11
22027,NEVER,0.146
22029,NEVER,0.11
22031,NEVER,0.035
22033,NEVER,0.052
22035,NEVER,0.022
22037,NEVER,0.067
22039,NEVER,0.215
22041,NEVER,0.123
22043,NEVER,0.086
22045,NEVER,0.112
22047,NEVER,0.061
22049,NEVER,0.116
22051,NEVER,0.044
22053,NEVER,0.249
22055,NEVER,0.062
22057,NEVER,0.078
22059,NEVER,0.082
22061,NEVER,0.102
22063,NEVER,0.06
22065,NEVER,0.034
22067,NEVER,0.039
22069,NEVER,0.096
22071,NEVER,0.019
22073,NEVER,0.076
22075,NEVER,0.065
22077,NEVER,0.044
22079,NEVER,0.106
22081,NEVER,0.068
22083,NEVER,0.066
22085,NEVER,0.098
22087,NEVER,0.035
22089,NEVER,0.093
22091,NEVER,0.064
22093,NEVER,0.034
22095,NEVER,0.096
22097,NEVER,0.064
22099,NEVER,0.069
22101,NEVER,0.066
